,ligand_ID,ligands,bind_site,smiles_0,smiles_1
4156,16244,CCNC(=S)NN=C(N)c1ccccn1,"[6, 14]",CCNC(=S)N[N]1=C(N)c2cccc[n]2->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CCNC(=S)N[N]1=C(N)c2cccc[n]2->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4157,16246,CCNC(=S)NN=C(N)c1ccccn1,"[13, 14]",CCNC1NN=C(N)c2cccc[n]2->[Ni]2(<-[S]=1)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CCNC1NN=C(N)c2cccc[n]2->[Ni]2(<-[S]=1)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4158,16247,CCNC(=S)NN=C(N)c1ccccn1,"[5, 14]",CCNC1N[N](=C(N)c2ccccn2)->[Ni]2(<-[S]=1)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CCNC1N[N](=C(N)c2ccccn2)->[Ni]2(<-[S]=1)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4159,16252,CN(C)C(=N)ON=C(N)c1ccccc1Cl,"[0, 3]",CN(C)C1=[NH]->[Ni]2(<-[N](O1)=C(N)c1ccccc1Cl)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CN(C)C1=[NH]->[Ni]2(<-[N](O1)=C(N)c1ccccc1Cl)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4160,16254,O=C([O-])C(O)(c1ccccc1)c1ccccc1,"[0, 4]",O=C1[O][Ni]2([O]C(=O)C([OH]->2)(c2ccccc2)c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([O]C(=O)C([OH]->2)(c2ccccc2)c2ccccc2)[CH](c2ccccc2)N1c1ccccc1
4161,16260,Cc1cc(C)c(N2CCN(c3ccccc3P(c3ccccc3)c3ccccc3)[P-]2)c(C)c1,"[16, 29]",Cc1cc(C)c(N2CCN3c4ccccc4[P](c4ccccc4)(c4ccccc4)->[Ni]4([P]32)[O]C(=O)C(c2ccccc2)[N]4c2ccccc2)c(C)c1,Cc1cc(C)c(N2CCN3c4ccccc4[P](c4ccccc4)(c4ccccc4)->[Ni]4([P]32)[O]C(=O)N(c2ccccc2)[CH]4c2ccccc2)c(C)c1
4162,16263,C=CC(C)(C)C(C)=O,"[6, 7]",CC(=O)C(C)(C)[CH]1=[CH2]->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC(=O)C(C)(C)[CH]1=[CH2]->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4163,16264,CC(C)=CCC(=O)CC(C)(C)C,"[8, 9]",CC(C)(C)CC(=O)C[CH]1=[C](C)(C)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC(C)(C)CC(=O)C[CH]1=[C](C)(C)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4164,16268,c1ccc(P(c2ccccc2)c2ccccc2NCCCNc2ccccc2P(c2ccccc2)c2ccccc2)cc1,"[0, 30]",O=C1[O][Ni]2(<-[P](c3ccccc3)(c3ccccc3)c3ccccc3NCCCNc3ccccc3[P]->2(c2ccccc2)c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[P](c3ccccc3)(c3ccccc3)c3ccccc3NCCCNc3ccccc3[P]->2(c2ccccc2)c2ccccc2)[CH](c2ccccc2)N1c1ccccc1
4165,16279,C(=NCCN=Cc1cccs1)c1cccs1,"[0, 9]",O=C1[O][Ni]2(<-[N](=Cc3cccs3)CC[N]->2=Cc2cccs2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[N](=Cc3cccs3)CC[N]->2=Cc2cccs2)[CH](c2ccccc2)N1c1ccccc1
4166,16283,NC(=O)NCCCC(N)C(=O)[O-],"[8, 9]",NC(=O)NCCCC1[NH2]->[Ni]2([O]C1=O)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,NC(=O)NCCCC1[NH2]->[Ni]2([O]C1=O)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4167,16285,[O-]c1ccc2ccccc2c1-c1c([O-])ccc2ccccc12,"[0, 13]",O=C1[O][Ni]2([O]c3ccc4ccccc4c3-c3c(ccc4ccccc34)[O]2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([O]c3ccc4ccccc4c3-c3c(ccc4ccccc34)[O]2)[CH](c2ccccc2)N1c1ccccc1
4168,16294,CC(C)(C)c1ccn([B-](c2ccccc2)(n2ccc(C(C)(C)C)n2)n2ccc(C(C)(C)C)n2)n1,"[23, 24]",CC(C)(C)c1ccn([B-]2(c3ccccc3)n3ccc(C(C)(C)C)[n]3->[Ni]3(<-[n]4c(C(C)(C)C)ccn42)[O]C(=O)C(c2ccccc2)[N]3c2ccccc2)n1,CC(C)(C)c1ccn([B-]2(c3ccccc3)n3ccc(C(C)(C)C)[n]3->[Ni]3(<-[n]4c(C(C)(C)C)ccn42)[O]C(=O)N(c2ccccc2)[CH]3c2ccccc2)n1
4169,16309,Cc1ccc(N=Cc2ccccc2[O-])cc1,"[5, 13]",Cc1ccc([N]2=Cc3ccccc3[O][Ni]<-23[O]C(=O)C(c2ccccc2)[N]3c2ccccc2)cc1,Cc1ccc([N]2=Cc3ccccc3[O][Ni]<-23[O]C(=O)N(c2ccccc2)[CH]3c2ccccc2)cc1
